model,AP,ROC,F1,P,R
LR_val,0.8781208195018179,0.9912365220974725,0.6474901297236323,0.4868532654792197,0.9663299663299664
LR_test,0.8599824306301483,0.9908162387287969,0.6244444444444445,0.46027846027846026,0.9706390328151986
LGBM_val,0.8598426173426758,0.9894529490356248,0.7631578947368421,0.7063037249283668,0.82996632996633
LGBM_test,0.830635792637497,0.9879655375313088,0.7310989867498051,0.6661931818181818,0.8100172711571675
